Class,Make,Model,Expire_Date,Rental_Rate,Rw_Delay,Overtime,Class_Desc,Make_Desc,Model_Desc
AIRCP,PORT,'000-004,3/31/2026,6.49,0.14,0.88,Air Compressor,Portable,'0                       19     (40)
AIRCP,PORT,'004-016,3/31/2026,24.14,0.14,0.88,Air Compressor,Portable,'19      (40)         76   (160)
AIRCP,PORT,'016-025,3/31/2026,26.18,0.14,0.88,Air Compressor,Portable,'76     (160)      118   (250)
AIRCP,PORT,'025-045,3/31/2026,45.6,0.14,0.88,Air Compressor,Portable,'118   (250)       212   (450)
AIRCP,PORT,'045-075,3/31/2026,75.35,0.14,0.88,Air Compressor,Portable,'212   (450)       354   (750)
AIRCP,PORT,'075-120,3/31/2026,110.14,0.14,0.88,Air Compressor,Portable,'354   (750)       566 (1200)
AIRCP,PORT,'120-150,3/31/2026,143.41,0.14,0.88,Air Compressor,Portable,'566 (1200)       708 (1500)
AIRDL,CLR,'0-4,3/31/2026,34.11,0.48,0.56,"Air Drills, Crawler",Crawler Drills,'0                       100    (4)
AIRDL,CLR,'5,3/31/2026,34.94,0.48,0.56,"Air Drills, Crawler",Crawler Drills,'100  (4)              & Over
AIRTO,ATOL,'0-10,3/31/2026,0.52,0.62,0.4,Air Tools,Air Tools,'0                      4.5     (10)
AIRTO,ATOL,'10-20,3/31/2026,0.57,0.62,0.4,Air Tools,Air Tools,'4.5   (10)          9.1     (20)
AIRTO,ATOL,'20-30,3/31/2026,1.03,0.62,0.4,Air Tools,Air Tools,'9.1   (20)         13.6    (30)
AIRTO,ATOL,'30-40,3/31/2026,1.2,0.62,0.4,Air Tools,Air Tools,'13.6 (30)         18.1    (40)
AIRTO,ATOL,'40-60,3/31/2026,1.3,0.62,0.4,Air Tools,Air Tools,'18.1 (40)         27.2    (60)
AIRTO,ATOL,'60,3/31/2026,1.84,0.62,0.4,Air Tools,Air Tools,'27.2 (60)            & Over
ASDSP,ACDC,'4050,3/31/2026,100.92,0.11,0.92,Asphalt Dike & Shoulder Pavers,A.C. Dike Company,'No. 1
ASDSP,ACDC,'4052,3/31/2026,75.49,0.11,0.92,Asphalt Dike & Shoulder Pavers,A.C. Dike Company,'No. 2
ASDSP,ACDC,'4054,3/31/2026,94.32,0.11,0.92,Asphalt Dike & Shoulder Pavers,A.C. Dike Company,"'Nos. 43, 44"
ASDSP,APCO,'4000,3/31/2026,128.77,0.11,0.92,Asphalt Dike & Shoulder Pavers,Asphalt Paving Company,'E-1
ASDSP,APCO,'4002,3/31/2026,231.42,0.11,0.92,Asphalt Dike & Shoulder Pavers,Asphalt Paving Company,"'E-2, E3"
ASDSP,B-K,'4075,3/31/2026,87.91,0.11,0.92,Asphalt Dike & Shoulder Pavers,Blaw-Knox,'RW-35 / 38
ASDSP,B-K,'4077,3/31/2026,50.44,0.11,0.92,Asphalt Dike & Shoulder Pavers,Blaw-Knox,'RW-85
ASDSP,B-K,'4079,3/31/2026,80.5,0.11,0.92,Asphalt Dike & Shoulder Pavers,Blaw-Knox,'RW-95
ASDSP,B-K,'4081,3/31/2026,128.73,0.11,0.92,Asphalt Dike & Shoulder Pavers,Blaw-Knox,'RW-100
ASDSP,B-K,'4083,3/31/2026,179.13,0.11,0.92,Asphalt Dike & Shoulder Pavers,Blaw-Knox,'RW-195D
ASDSP,DLTA,'4095,3/31/2026,177.81,0.11,0.92,Asphalt Dike & Shoulder Pavers,Delta,'DC-1
ASPAV,B-G,'0805,3/31/2026,108.15,0.16,0.87,Asphalt Pavers,Barber-Greene,'BG 220
ASPAV,B-G,'0810,3/31/2026,115.99,0.16,0.87,Asphalt Pavers,Barber-Greene,'BG 225
ASPAV,B-G,'0815,3/31/2026,128.23,0.16,0.87,Asphalt Pavers,Barber-Greene,'BG 240
ASPAV,B-G,'0820,3/31/2026,138.5,0.16,0.87,Asphalt Pavers,Barber-Greene,'BG 245
ASPAV,B-G,'0825,3/31/2026,168.63,0.16,0.87,Asphalt Pavers,Barber-Greene,'BG 260
ASPAV,B-G,'0826,3/31/2026,209.65,0.16,0.87,Asphalt Pavers,Barber-Greene,'BG 260B
ASPAV,B-G,'0830,3/31/2026,186.88,0.16,0.87,Asphalt Pavers,Barber-Greene,'BG 265
ASPAV,B-G,'0905,3/31/2026,138.29,0.16,0.87,Asphalt Pavers,Barber-Greene,"'RT 435, 4wd"
ASPAV,B-G,'0925,3/31/2026,131.54,0.16,0.87,Asphalt Pavers,Barber-Greene,"'RT 445, 4wd"
ASPAV,B-G,'0945,3/31/2026,129.5,0.16,0.87,Asphalt Pavers,Barber-Greene,"'RT 455, 4wd"
ASPAV,B-G,'0955,3/31/2026,133.44,0.16,0.87,Asphalt Pavers,Barber-Greene,"'RT 455, 4wd, 10-20' screed"
ASPAV,B-G,'0965,3/31/2026,174.83,0.16,0.87,Asphalt Pavers,Barber-Greene,"'RT 465, 4wd"
ASPAV,B-G,'1419E,3/31/2026,104.03,0.16,0.87,Asphalt Pavers,Barber-Greene,'SA 125
ASPAV,B-G,'1420,3/31/2026,128.48,0.16,0.87,Asphalt Pavers,Barber-Greene,'SB 131
ASPAV,B-G,'1425,3/31/2026,161.38,0.16,0.87,Asphalt Pavers,Barber-Greene,'SB 140
ASPAV,B-G,'1430,3/31/2026,111.84,0.16,0.87,Asphalt Pavers,Barber-Greene,'SA 141
ASPAV,B-G,'1432,3/31/2026,135.78,0.16,0.87,Asphalt Pavers,Barber-Greene,'SA 145
ASPAV,B-G,'1435,3/31/2026,173.53,0.16,0.87,Asphalt Pavers,Barber-Greene,'SA 150
ASPAV,B-G,'1440,3/31/2026,180.05,0.16,0.87,Asphalt Pavers,Barber-Greene,'SB 170
ASPAV,B-K,'1490,3/31/2026,49.21,0.16,0.87,Asphalt Pavers,Blaw-Knox,'PF-22
ASPAV,B-K,'1550,3/31/2026,88.62,0.16,0.87,Asphalt Pavers,Blaw-Knox,'PF-35
ASPAV,B-K,'1750,3/31/2026,132.71,0.16,0.87,Asphalt Pavers,Blaw-Knox,'PF-115
ASPAV,B-K,'2010,3/31/2026,125.1,0.16,0.87,Asphalt Pavers,Blaw-Knox,'PF-120H
ASPAV,B-K,'2090,3/31/2026,185.58,0.16,0.87,Asphalt Pavers,Blaw-Knox,'PF-171
ASPAV,B-K,'2100,3/31/2026,90.06,0.16,0.87,Asphalt Pavers,Blaw-Knox,'PF-180
